rank,movie_id,title,content_score,content_normalized,rating_score,rating_normalized,business_score,business_normalized,time_score,time_normalized,final_score
2223,21208,Orphan,31.659544643316732,0.5510537453915918,36.92004634429964,0.4572163785971887,43.39,0.4563525452250736,47.85,0.9477124183006536,56.82
2224,4107,Bloody Sunday,30.50925711605076,0.5288358401051573,36.28306695423011,0.44932805128436004,46.22,0.48611695414387884,49.5,0.9803921568627451,56.81
2225,10655,Gettysburg,35.96241284006236,0.6341640250297024,33.32262911812639,0.41266610742159393,58.08,0.6108540176693311,30.0,0.5941770647653001,56.81
2226,10307,Stigmata,31.95533603200801,0.5567669822151761,30.87039669511376,0.3822977590865828,49.74,0.523138409760202,48.83,0.96712220241632,56.8
2227,2959,License to Wed,33.849803038843234,0.5933587799426392,26.88320975442159,0.3329205953416422,51.37,0.5402818679007152,46.84,0.9277084571202219,56.78
2228,76617,Texas Chainsaw 3D,35.08416406251902,0.6172005722451943,28.11964209835873,0.3482325240809369,44.66,0.4697097181320993,47.08,0.9324618736383442,56.78
2229,1588,Bring It On,32.68327698833337,0.5708272261440958,30.57610930757087,0.37865331583902,48.53,0.5104122843920909,48.0,0.9506833036244801,56.77
2230,236751,Heaven is for Real,29.807706054377952,0.5152853193245908,30.754257602866268,0.3808594972091255,58.35,0.6136937315944468,48.32,0.9570211923153099,56.76
2231,16148,Zero Effect,35.787369226512226,0.6307830421583189,30.18238751220134,0.37377748085834606,36.22,0.3809423643247791,49.0,0.9704892057833234,56.75
2232,175574,Free Birds,34.570820810765625,0.6072853019527346,29.383366748843592,0.36388243965391387,44.74,0.4705511148506521,46.96,0.930085165379283,56.75
2233,1921,Sweet November,31.118239448759443,0.5405983877017504,33.048970231139684,0.4092771267006009,49.84,0.524190155658393,48.5,0.9605862547039017,56.75
2234,23049,My Life in Ruins,34.514445156583164,0.6061964012080104,28.35253840814919,0.3511167026748103,45.67,0.4803323517038284,47.51,0.9409784115666467,56.75
2235,9429,A Night at the Roxbury,33.71185584106086,0.5906943176215163,30.22224092703331,0.3742710239550767,49.15,0.5169331089608751,45.17,0.8946326005149534,56.74
2236,16323,The Rose,29.922187500648413,0.5174965385806464,34.22099747625941,0.4237914652697782,53.88,0.5666806899453093,47.5,0.9407803525450584,56.74
2237,101267,Katy Perry: Part of Me,30.86097584156693,0.5356293183840684,32.87754423888214,0.40715419406269193,52.77,0.5550063104753892,47.23,0.9354327589621706,56.74
2238,64689,Killing Them Softly,33.424947334536775,0.5851526544523297,31.180873933369806,0.38614269679842844,44.87,0.47191838451830037,47.9,0.9487027134085957,56.73
2239,24100,The Little Vampire,34.7296425754318,0.6103529583787453,30.76768523378709,0.3810257844538788,41.25,0.43384518300378627,47.5,0.9407803525450584,56.73
2240,9072,Little Man,35.47343946343073,0.6247194610297679,27.353103322497624,0.338739738511678,42.83,0.45046276819520403,48.0,0.9506833036244801,56.73
2241,12257,Home Fries,37.47154136148788,0.6633129758435768,24.139098474913737,0.2989376309113174,41.39,0.43531762726125367,47.17,0.9342444048326402,56.73
2242,1683,The Reaping,33.443462252362735,0.5855102717270481,27.75433385718812,0.34370856142005246,49.42,0.5197728228859908,48.17,0.9540503069914834,56.72
2243,2207,16 Blocks,33.413696552260326,0.5849353445979748,33.18000108255889,0.41089980752856375,40.11,0.4218552797644089,49.17,0.9738562091503268,56.71
2244,80035,The Watch,33.61227400512433,0.5887708856563398,29.321781715136247,0.3631197730574293,46.59,0.4900084139671856,48.07,0.9520697167755992,56.71
2245,38363,Fair Game,33.76254613077306,0.5916734050488524,33.29930775190451,0.4123772965542274,37.88,0.3984013462347497,49.69,0.9841552782729253,56.71
2246,145220,Muppets Most Wanted,30.905843504921183,0.5364959412685204,32.02760507930358,0.39662858147416796,50.02,0.5260832982751368,49.82,0.9867300455535749,56.7
2247,48988,Hall Pass,31.57366404796862,0.5493949540997117,28.95227732017853,0.3585438453957243,52.94,0.5567942785023138,49.2,0.9744503862150922,56.69
2248,18892,Jawbreaker,37.57654076358589,0.6653410485781309,29.795416339753977,0.3689852453221843,33.93,0.3568573832562053,46.17,0.9144385026737968,56.69
2249,46332,Of Gods and Men,40.21002168874658,0.7162069654745099,32.81255453274096,0.40634936413883804,59.04,0.6209507782919647,18.36,0.3636363636363636,56.68
2250,9358,Final Destination 2,30.03988819928324,0.5197699379807349,32.58495596836724,0.40353079261250685,56.71,0.5964450988641145,46.67,0.9243414537532184,56.67
2251,9310,American Dreamz,36.91092104490519,0.6524845448641586,24.88687206916159,0.30819802922133727,38.73,0.4073411863693731,49.5,0.9803921568627451,56.66
2252,198185,Million Dollar Arm,31.277544620216325,0.5436753811726618,33.96045876362164,0.4205649642636382,48.41,0.5091501893142617,47.83,0.9473163002574767,56.65
2253,9781,Detroit Rock City,33.87289556590734,0.5938048141445003,33.84835691025747,0.41917669939118335,39.5,0.41543962978544385,47.5,0.9407803525450584,56.65
2254,11470,Jason X,36.253426358219656,0.6397849768615097,23.3911183203472,0.28967467456656515,47.06,0.49495161968868323,46.83,0.9275103980986333,56.64
2255,11375,Hollywood Homicide,35.34293864413869,0.6221988261675226,25.60437013239764,0.31708349656512175,43.99,0.46266302061421966,49.0,0.9704892057833234,56.63
2256,9473,"South Park: Bigger, Longer & Uncut",39.70804280137302,0.7065111988847738,38.06933152899469,0.4714490803988429,15.0,0.15776188472864955,45.17,0.8946326005149534,56.62
2257,11683,Land of the Dead,30.923037270287637,0.5368280403666797,31.179777183706666,0.38612911469442635,54.58,0.5740429112326462,47.17,0.9342444048326402,56.62
2258,256917,The Water Diviner,33.61269150115702,0.5887789496291223,35.44494953003092,0.43894883859437595,34.52,0.3630626840555322,49.89,0.988116458704694,56.61
2259,22821,The Boondock Saints II: All Saints Day,35.23692540479067,0.6201511710768508,30.378126995199278,0.37620151079401326,37.72,0.39671855279764406,48.68,0.9641513170924935,56.61
2260,9566,The Fan,37.20037597047603,0.658075392342363,29.02295034770377,0.35941905734449203,32.03,0.33687421119057637,49.0,0.9704892057833234,56.6
2261,97367,The Place Beyond the Pines,31.62333549226647,0.5503543624377932,38.41451534031012,0.47572382292457605,44.19,0.4647665124106016,45.09,0.893048128342246,56.6
2262,10368,Tea with Mussolini,34.8116693706529,0.6119373131804563,29.12094310783449,0.3606325957701454,40.87,0.42984854859066046,48.83,0.96712220241632,56.6
2263,314,Catwoman,35.66974854655309,0.6285111883260258,23.49980727461873,0.29102067423303674,45.75,0.48117374842238114,49.0,0.9704892057833234,56.6
